,work_year,,,,salary,,salary_in_usd,,remote_ratio
0,2020,,,,70000,,79833,,0
1,2020,,,,260000,,260000,,0
2,2020,,,,85000,,109024,,50
3,2020,,,,20000,,20000,,0
4,2020,,,,150000,,150000,,50
5,2020,,,,72000,,72000,,100
6,2020,,,,190000,,190000,,100
7,2020,,,,11000000,,35735,,50
8,2020,,,,135000,,135000,,100
9,2020,,,,125000,,125000,,50
10,2020,,,,45000,,51321,,0
11,2020,,,,3000000,,40481,,0
12,2020,,,,35000,,39916,,0
13,2020,,,,87000,,87000,,100
14,2020,,,,85000,,85000,,100
15,2020,,,,8000,,8000,,50
16,2020,,,,4450000,,41689,,100
17,2020,,,,100000,,114047,,100
18,2020,,,,423000,,5707,,50
19,2020,,,,56000,,56000,,100
20,2020,,,,299000,,43331,,0
21,2020,,,,450000,,6072,,100
22,2020,,,,42000,,47899,,50
23,2020,,,,98000,,98000,,0
24,2020,,,,115000,,115000,,0
25,2020,,,,325000,,325000,,100
26,2020,,,,42000,,42000,,50
27,2020,,,,720000,,33511,,0
28,2020,,,,100000,,100000,,100
29,2020,,,,157000,,117104,,50
30,2020,,,,51999,,59303,,100
31,2020,,,,70000,,70000,,100
32,2020,,,,60000,,68428,,100
33,2020,,,,450000,,450000,,0
34,2020,,,,41000,,46759,,50
35,2020,,,,65000,,74130,,50
36,2020,,,,103000,,103000,,100
37,2020,,,,250000,,250000,,50
38,2020,,,,10000,,10000,,100
39,2020,,,,138000,,138000,,100
40,2020,,,,45760,,45760,,100
41,2020,,,,70000,,79833,,50
42,2020,,,,44000,,50180,,0
43,2020,,,,106000,,106000,,100
44,2020,,,,88000,,112872,,50
45,2020,,,,14000,,15966,,100
46,2020,,,,60000,,76958,,100
47,2020,,,,188000,,188000,,100
48,2020,,,,105000,,105000,,100
49,2020,,,,61500,,70139,,50
50,2020,,,,450000,,6072,,0
51,2020,,,,91000,,91000,,100
52,2020,,,,300000,,45896,,50
53,2020,,,,48000,,54742,,100
54,2020,,,,60000,,60000,,100
55,2020,,,,130000,,148261,,100
56,2020,,,,34000,,38776,,100
57,2020,,,,118000,,118000,,100
58,2020,,,,120000,,120000,,50
59,2020,,,,138350,,138350,,100
60,2020,,,,110000,,110000,,100
61,2020,,,,130800,,130800,,100
62,2020,,,,19000,,21669,,50
63,2020,,,,412000,,412000,,100
64,2020,,,,40000,,45618,,100
65,2020,,,,55000,,62726,,50
66,2020,,,,43200,,49268,,0
67,2020,,,,190200,,190200,,100
68,2020,,,,105000,,105000,,100
69,2020,,,,80000,,91237,,0
70,2020,,,,55000,,62726,,50
